source,edge,target,sentence,edge-comments,label
vaccinated high-risk children,are less likely to be diagnosed with,autism,vaccinated high-risk children are less likely to be diagnosed with autism,than unvaccinated high-risk children,pos
Gardasil,can prevent,variety of medical conditions,Gardasil can prevent variety of medical conditions,,pos
Triton X-100,is questionable,vaccine ingredients,Triton X-100 is questionable vaccine ingredients,,neg
California government,are,brain-damaged,California government are brain-damaged,,neg
science,is easily corrupted by,corporate interests,science is easily corrupted by corporate interests,,neg
Generation Rescue,headed by,Jenny McCarthy,Generation Rescue headed by Jenny McCarthy,,neu
vaccines,are not magic,Pez dispensers,vaccines are not magic Pez dispensers,said Renee Gentry,neu
scientific paper,there has never been a single high-quality to suggest,vaccine-autism link,scientific paper there has never been a single high-quality to suggest vaccine-autism link,MMR,pos
dramatic rise,in,number of recommended shots,dramatic rise in number of recommended shots,,neg
California Governor Jerry Brown,will soon have to decide if he's going to commit,medical genocide,California Governor Jerry Brown will soon have to decide if he's going to commit medical genocide,,neg
parents,may have opted-out of vaccination if noticed,developmental disability,parents may have opted-out of vaccination if noticed developmental disability,developmental delays,pos
CDC,recommends boys get vaccinated when 11 or 12,Gardasil,CDC recommends boys get vaccinated when 11 or 12 Gardasil,when 11 or 12,pos
American Medical Association,voted to end,personal belief exemption,American Medical Association voted to end personal belief exemption,personal vaccination exemptions,pos
SB 277,poses grave risk to,genetically susceptible children,SB 277 poses grave risk to genetically susceptible children,,neg
U.S. government,tells us is GOOD,mercury,U.S. government tells us is GOOD mercury,in vaccines,neg
vaccine refusal,may have caused rise in,disease,vaccine refusal may have caused rise in disease,in small clusters says Gambhir,neu
reactions,are unpredictable for new,vaccines,reactions are unpredictable for new vaccines,,neg
rational scientist,cannot believe it is somehow safe injecting infants and children with,formaldehyde,rational scientist cannot believe it is somehow safe injecting infants and children with formaldehyde,,neg
high-dose flu vaccine,jury is still out on whether the high does truly does a better job of preventing major flu impacts like death of,elderly,high-dose flu vaccine jury is still out on whether the high does truly does a better job of preventing major flu impacts like death of elderly,from institutional and public health perspective,neu
vaccine violence,continues to show the importance of a,parent's right,vaccine violence continues to show the importance of a parent's right,,neg
highly susceptible,were Baby Boomers because they were almost exclusively fed,formula,highly susceptible were Baby Boomers because they were almost exclusively fed formula,,neg
Jehovah's Witnesses,had past opposition to,vaccines,Jehovah's Witnesses had past opposition to vaccines,,pos
adults,most have not made up their mind about,vaccine-autism link,adults most have not made up their mind about vaccine-autism link,,pos
children,cannot make decisions of,informed consent,children cannot make decisions of informed consent,,neg
CDC,held,vaccine scientists meeting,CDC held vaccine scientists meeting,,neg
vaccine-autism link,in,African-American children,vaccine-autism link in African-American children,,neg
Gardasil injuries,information inside the U.S. comes mainly from,alternative media,Gardasil injuries information inside the U.S. comes mainly from alternative media,,neg
HPV vaccine benefits,can be seen in high school,girls,HPV vaccine benefits can be seen in high school girls,,pos
absolute objection,does not mean,opposed,absolute objection does not mean opposed,to getting vaccinated,pos
parents,are urged against sending their children to,vaccine-free day care centres,parents are urged against sending their children to vaccine-free day care centres,Jill Hennessy urged,pos
Dr. Paul Offit,is a proponent for,vaccine safety,Dr. Paul Offit is a proponent for vaccine safety,,neg
desire by Big Pharma,is to improve,market share,desire by Big Pharma is to improve market share,,neg
Global Post,reports more that 170 cases of narcolepsy in,children,Global Post reports more that 170 cases of narcolepsy in children,,neg
Andrew Wakefield,lost his,medical license,Andrew Wakefield lost his medical license,,neu
scientific tests,would show healthier,unvaccinated children,scientific tests would show healthier unvaccinated children,,neg
loss of consciousness,from Gardasil can cause,fall,loss of consciousness from Gardasil can cause fall,,neg
risk of fainting,after getting,meningococcal vaccine,risk of fainting after getting meningococcal vaccine,,pos
risk,of complications is lower but still significant for,pertussis in adults,risk of complications is lower but still significant for pertussis in adults,,neu
Americans,millions take regularly,antibiotics,Americans millions take regularly antibiotics,,neg
vaccination,will prevent,hospitalizations,vaccination will prevent hospitalizations,,pos
measles,if contracted can expect,runny nose,measles if contracted can expect runny nose,,neg
vaccinated children,had no increased,autism risk,vaccinated children had no increased autism risk,,pos
VAERS hepatitis B reports,show 439,deaths,VAERS hepatitis B reports show 439 deaths,,neg
states,all have,vaccination rate,states all have vaccination rate,for MMR vaccine,pos
parents who refuse to vaccinate their children,become even less likely to vaccinate when confronted by insistence on,vaccine safety,parents who refuse to vaccinate their children become even less likely to vaccinate when confronted by insistence on vaccine safety,researchers have found,pos
protective effect of vaccines,was shown by,lower rate of autism in vaccinated children,protective effect of vaccines was shown by lower rate of autism in vaccinated children,in Jain study,pos
standard flu vaccine,works just as well for those,ages 65-84,standard flu vaccine works just as well for those ages 65-84,published in journal Clinical Infectious Diseases,neu
monosodium glutamate,is questionable,vaccine ingredients,monosodium glutamate is questionable vaccine ingredients,,neg
pharmaceutical companies,numerous times accused of,omitting deaths,pharmaceutical companies numerous times accused of omitting deaths,,neg
CDC,pushing total science delusion,quackery,CDC pushing total science delusion quackery,,neg
Rand Paul,expected to run for 2016,president,Rand Paul expected to run for 2016 president,,neu
vaccine safety,trusted voices in defense are closely tied to paid shills for,pharmaceutical companies,vaccine safety trusted voices in defense are closely tied to paid shills for pharmaceutical companies,,neg
